ano_campeonato,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,penalti,gols_penalti_mandante,gols_penalti_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,pontos_mandante,pontos_visitante,mandante_venceu,visitante_venceu,empate_flag
2020,2020-05-02,14:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal Gerson do Amaral,,703,7000.0,Coruripe,Juventude,,,,,,,0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,15:30:00,1ª Eliminatória,Jogo Único,Estádio Bruno José Daniel,,992,15157.0,Santo André,Criciúma EC,,,,,,,4,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-05-02,18:15:00,1ª Eliminatória,Jogo Único,Estádio Municipal Vereador Benedito Laurindo de Souza ou Estádio Dito ,,832,20120.0,Operário VG,Santa Cruz,,,325000.0,50000.0,25.1,29.2,0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Barão da Serra Negra,,2126,20120.0,XV Piracicaba,Londrina-PR,,,400000.0,650000.0,29.4,22.8,1,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Arnaldo Lopes Martins,,1044,2500.0,Vilhenense,Boa Esporte,,,,,,,1,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal Antônio de Figueiredo Carneiro,,5417,16000.0,Atl. Alagoinhas,Botafogo-PB,,,500000.0,600000.0,31.3,30.8,0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Lírio Callou,,740,5000.0,Barbalha,Operário-PR,,,,,,,0,3,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio 19 de Outubro,,1922,8000.0,São Luiz,América-RN,,,300000.0,100000.0,27.2,28.6,0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Arena Cajueiro,,1398,4000.0,AD Bahia-BA,Luverdense,,,,,,,3,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal Antônio Dias,,480,8000.0,Independente-PA,CRB,,,,,,,2,3,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-05-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Milton de Souza Corrêa,,206,10000.0,Santos-AP,América-MG,,,50000.0,3200000.0,28.1,26.9,1,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Governador Alberto Tavares Silva,,3972,44200.0,River-PI,EC Bahia,Marcelo Vilar,Roger Machado,50000.0,15150000.0,27.1,26.7,1,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-05-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Nilton Santos,,2162,12000.0,Palmas,Paraná,,,,,,,0,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-05-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Mário Pinto de Souza,,2480,5000.0,Aquidauanense,ABC FC,,,175000.0,50000.0,31.2,27.9,0,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-05-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Francisco Stédile,,3021,30822.0,Caxias-RS,Botafogo,Lacerda,Alberto Valentim,100000.0,7650000.0,30.9,26.5,1,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-05-02,21:30:00,1ª Eliminatória,Jogo Único,Estádio Ismael Benigno,,545,10000.0,Fast,Goiás,,,,,,,0,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-06-02,15:30:00,1ª Eliminatória,Jogo Único,Estádio Jorge Ismael de Biasi,,1356,18000.0,Novorizontino,Figueirense FC,Roberto Fonseca,Marcio Coelho,2800000.0,4350000.0,31.1,26.0,1,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-06-02,18:15:00,1ª Eliminatória,Jogo Único,Estádio Maria de Lourdes Abadia,,344,5000.0,Brasiliense,Paysandu,,,,,,,1,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-06-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Salvador Venâncio da Costa,,1512,3000.0,Vitória-ES,CSA,,,,,,,2,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-06-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal Engenheiro Luthero Lopes,,4571,19000.0,União Rond.,Atlético-GO,Júlio César Nunes,Cristóvão Borges,200000.0,4950000.0,29.0,26.4,0,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-11-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Frei Epifânio D'Abadia,,6542,12500.0,Imperatriz,EC Vitória,,,,,,,0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-12-02,15:00:00,1ª Eliminatória,Jogo Único,Estádio São Benedito,,1193,5000.0,Bragantino-PA,Ceará SC,,,,,,,1,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-12-02,18:15:00,1ª Eliminatória,Jogo Único,Estádio Augusto Bauer,,0,5000.0,Brusque,Sport Recife,,,,,,,2,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-12-02,18:15:00,1ª Eliminatória,Jogo Único,Estádio Governador Alberto Tavares Silva,,11600,44000.0,Altos,Vasco da Gama,Fernando Tonet,Abel Braga,200000.0,21850000.0,31.5,26.8,1,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-12-02,19:01:00,1ª Eliminatória,Jogo Único,Estádio Proletário Guilherme da Silveira,,693,9024.0,Bangu-RJ,Oeste,,,,,,,1,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-12-02,19:01:00,1ª Eliminatória,Jogo Único,Estádio Municipal Jairton Menezes de Mendonça,,483,4000.0,Freipaulistano,Remo,,,,,,,1,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-12-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Valmir Campelo Bezerra,,3691,20310.0,SE Gama,Brasil Pelotas,,,,,,,3,3,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-12-02,19:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal Raimundo de Oliveira,,663,7800.0,Caucaia-CE,EC São José,,,,,,,1,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-12-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal 14 de Dezembro,,2361,15000.0,Toledo,Náutico,Zé Maria,Gilmar Pozzo,50000.0,2150000.0,27.7,27.0,0,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-12-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Renato Cunha Lima,,3475,20120.0,Campinense-PB,Atlético-MG,,,,,,,0,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,empate,1,1,0,0,1
2020,2020-12-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Iliê Vidal,,1875,8000.0,Águia Negra,Sampaio Corrêa,,,,,,,2,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
2020,2020-12-02,20:30:00,1ª Eliminatória,Jogo Único,Estádio Municipal Nhozinho Santos,,0,16500.0,Moto Club,Fluminense,Dejair Ferreira,Odair Hellmann,500000.0,10850000.0,28.7,28.7,2,4,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-12-02,20:30:00,1ª Eliminatória,Jogo Único,Arena Acreana,,860,20000.0,Galvez,Vila Nova FC,,,,,,,0,1,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,visitante,0,3,0,1,0
2020,2020-12-02,21:30:00,1ª Eliminatória,Jogo Único,Arena da Amazonia,,0,20120.0,Manaus FC,Coritiba FC,,,,,,,1,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,mandante,3,0,1,0,0
